"mean","sd","sd_low","sd_high","month","year","parameter"
37.3158513719003,5.74585438437756,31.5699969875228,43.0617057562779,"May","2009","zeu"
46.5310030243683,5.88900014349556,40.6420028808727,52.4200031678639,"May","2010","zeu"
41.7237768455089,5.08595689184929,36.6378199536596,46.8097337373582,"May","2011","zeu"
33.5587417588055,3.52110455482876,30.0376372039767,37.0798463136342,"May","2012","zeu"
32.7184154059573,4.0840139496996,28.6344014562577,36.8024293556569,"May","2013","zeu"
51.2601406239755,6.58578704428131,44.6743535796942,57.8459276682568,"June","2009","zeu"
52.1860147636462,6.02626582412658,46.1597489395196,58.2122805877728,"June","2010","zeu"
45.484616062389,7.43430718266677,38.0503088797222,52.9189232450558,"June","2011","zeu"
50.5463876995868,5.56006439780059,44.9863233017862,56.1064520973874,"June","2012","zeu"
44.4207465826666,4.84058621521854,39.5801603674481,49.2613327978852,"June","2013","zeu"
55.2729611965917,6.94622652817934,48.3267346684123,62.219187724771,"July","2009","zeu"
57.0620055122948,7.92920949819362,49.1327960141012,64.9912150104884,"July","2010","zeu"
50.3116557613571,6.60960825012041,43.7020475112367,56.9212640114775,"July","2011","zeu"
51.8899774631976,6.3461091570609,45.5438683061367,58.2360866202585,"July","2012","zeu"
52.9109564993904,6.290650794104,46.6203057052864,59.2016072934944,"July","2013","zeu"
